% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.201	1	1	21	2	1	2	137
0.202	1	1	21	3	1	2	137
0.203	1	1	21	4	1	2	137
0.204	1	1	21	5	1	2	137
0.205	1	1	21	6	1	2	137
0.206	1	1	21	7	1	2	137
0.207	1	1	21	8	1	2	137
0.208	1	1	21	9	1	2	137
0.209	1	1	21	10	1	2	137
0.21	1	1	22	1	1	2	137
0.211	1	1	22	2	1	2	137
0.212	1	1	22	3	1	2	137
0.213	1	1	22	4	1	2	137
0.214	1	1	22	5	1	2	137
0.215	1	1	22	6	1	2	137
0.216	1	1	22	7	1	2	137
0.217	1	1	22	8	1	2	137
0.218	1	1	22	9	1	2	137
0.219	1	1	22	10	1	2	137
0.22	1	1	23	1	1	2	137
0.221	1	1	23	2	1	2	137
0.222	1	1	23	3	1	2	137
0.223	1	1	23	4	1	2	137
0.224	1	1	23	5	1	2	137
0.225	1	1	23	6	1	2	137
0.226	1	1	23	7	1	2	137
0.227	1	1	23	8	1	2	137
0.228	1	1	23	9	1	2	137
0.229	1	1	23	10	1	2	137
0.23	1	1	24	1	1	2	137
0.231	1	1	24	2	1	2	137
0.232	1	1	24	3	1	2	137
0.233	1	1	24	4	1	2	137
0.234	1	1	24	5	1	2	137
0.235	1	1	24	6	1	2	137
0.236	1	1	24	7	1	2	137
0.237	1	1	24	8	1	2	137
0.238	1	1	24	9	1	2	137
0.239	1	1	24	10	1	2	137
0.24	1	1	25	1	1	2	137
0.241	1	1	25	2	1	2	137
0.242	1	1	25	3	1	2	137
0.243	1	1	25	4	1	2	137
0.244	1	1	25	5	1	2	137
0.245	1	1	25	6	1	2	137
0.246	1	1	25	7	1	2	137
0.247	1	1	25	8	1	2	137
0.248	1	1	25	9	1	2	137
0.249	1	1	25	10	1	2	137
0.25	1	1	26	1	1	2	137
0.251	1	1	26	2	1	2	137
0.252	1	1	26	3	1	2	137
0.253	1	1	26	4	1	2	137
0.254	1	1	26	5	1	2	137
0.255	1	1	26	6	1	2	137
0.256	1	1	26	7	1	2	137
0.257	1	1	26	8	1	2	137
0.258	1	1	26	9	1	2	137
0.259	1	1	26	10	1	2	137
0.26	1	1	27	1	1	2	137
0.261	1	1	27	2	1	2	137
0.262	1	1	27	3	1	2	137
0.263	1	1	27	4	1	2	137
0.264	1	1	27	5	1	2	137
0.265	1	1	27	6	1	2	137
0.266	1	1	27	7	1	2	137
0.267	1	1	27	8	1	2	137
0.268	1	1	27	9	1	2	137
0.269	1	1	27	10	1	2	137
0.27	1	1	28	1	1	2	137
0.271	1	1	28	2	1	2	137
0.272	1	1	28	3	1	2	137
0.273	1	1	28	4	1	2	137
0.274	1	1	28	5	1	2	137
0.275	1	1	28	6	1	2	137
0.276	1	1	28	7	1	2	137
0.277	1	1	28	8	1	2	137
0.278	1	1	28	9	1	2	137
0.279	1	1	28	10	1	2	137
0.28	1	1	29	1	1	2	137
0.281	1	1	29	2	1	2	137
0.282	1	1	29	3	1	2	137
0.283	1	1	29	4	1	2	137
0.284	1	1	29	5	1	2	137
0.285	1	1	29	6	1	2	137
0.286	1	1	29	7	1	2	137
0.287	1	1	29	8	1	2	137
0.288	1	1	29	9	1	2	137
0.289	1	1	29	10	1	2	137
0.29	1	1	30	1	1	2	137
0.291	1	1	30	2	1	2	137
0.292	1	1	30	3	1	2	137
0.293	1	1	30	4	1	2	137
0.294	1	1	30	5	1	2	137
0.295	1	1	30	6	1	2	137
0.296	1	1	30	7	1	2	137
0.297	1	1	30	8	1	2	137
0.298	1	1	30	9	1	2	137
0.299	1	1	30	10	1	2	137
0.3	1	1	31	1	1	2	137
0.301	1	1	31	2	1	2	137
0.302	1	1	31	3	1	2	137
0.303	1	1	31	4	1	2	137
0.304	1	1	31	5	1	2	137
0.305	1	1	31	6	1	2	137
0.306	1	1	31	7	1	2	137
0.307	1	1	31	8	1	2	137
0.308	1	1	31	9	1	2	137
0.309	1	1	31	10	1	2	137
0.31	1	1	32	1	1	2	137
0.311	1	1	32	2	1	2	137
0.312	1	1	32	3	1	2	137
0.313	1	1	32	4	1	2	137
0.314	1	1	32	5	1	2	137
0.315	1	1	32	6	1	2	137
0.316	1	1	32	7	1	2	137
0.317	1	1	32	8	1	2	137
0.318	1	1	32	9	1	2	137
0.319	1	1	32	10	1	2	137
0.32	1	1	33	1	1	2	137
0.321	1	1	33	2	1	2	137
0.322	1	1	33	3	1	2	137
0.323	1	1	33	4	1	2	137
0.324	1	1	33	5	1	2	137
0.325	1	1	33	6	1	2	137
0.326	1	1	33	7	1	2	137
0.327	1	1	33	8	1	2	137
0.328	1	1	33	9	1	2	137
0.329	1	1	33	10	1	2	137
0.33	1	1	34	1	1	2	137
0.331	1	1	34	2	1	2	137
0.332	1	1	34	3	1	2	137
0.333	1	1	34	4	1	2	137
0.334	1	1	34	5	1	2	137
0.335	1	1	34	6	1	2	137
0.336	1	1	34	7	1	2	137
0.337	1	1	34	8	1	2	137
0.338	1	1	34	9	1	2	137
0.339	1	1	34	10	1	2	137
0.34	1	1	35	1	1	2	137
0.341	1	1	35	2	1	2	137
0.342	1	1	35	3	1	2	137
0.343	1	1	35	4	1	2	137
0.344	1	1	35	5	1	2	137
0.345	1	1	35	6	1	2	137
0.346	1	1	35	7	1	2	137
0.347	1	1	35	8	1	2	137
0.348	1	1	35	9	1	2	137
0.349	1	1	35	10	1	2	137
0.35	1	1	36	1	1	2	137
0.351	1	1	36	2	1	2	137
0.352	1	1	36	3	1	2	137
0.353	1	1	36	4	1	2	137
0.354	1	1	36	5	1	2	137
0.355	1	1	36	6	1	2	137
0.356	1	1	36	7	1	2	137
0.357	1	1	36	8	1	2	137
0.358	1	1	36	9	1	2	137
0.359	1	1	36	10	1	2	137
0.36	1	1	37	1	1	2	137
0.361	1	1	37	2	1	2	137
0.362	1	1	37	3	1	2	137
0.363	1	1	37	4	1	2	137
0.364	1	1	37	5	1	2	137
0.365	1	1	37	6	1	2	137
0.366	1	1	37	7	1	2	137
0.367	1	1	37	8	1	2	137
0.368	1	1	37	9	1	2	137
0.369	1	1	37	10	1	2	137
